abx	day0	day1	day2	day3	day4	day5	day6	day7	day8	day9	day10
streptomycin	0	47881925	754663756	58578684	765379686	864675390	643230200	493470376	867307605	596351702	425749100
streptomycin	0	923907883	699869698	983885092	299187148	713090540	580131898	915028459	783312527	864840715	98378075
streptomycin	0	305001512	133338021	653199008	279201536	41872866	620183702	569436154	271185864	147792208	269991772
streptomycin	0	126806250	923864390	435699326	845689529	408467159	279693179	498350327	255277358	153703304	694530580
streptomycin	0	97088927	459211727	31043076	534441417	978109683	260486728	26187179	49353800	938103224	818768114
cefoperazone	0	183052512	816900728	341303225	202471213	263121650	327427365	469697988	71950705	210262026	87046353
cefoperazone	0	786507577	734833841	942834792	982052641	852767083	548847604	282376986	161660997	80717062	50807703
cefoperazone	0	702000162	742089778	244363252	89386767	804591555	873376891	783258933	99123339	195980595	93663717
cefoperazone	0	621859055	161870286	853273636	657527400	341481598	954305038	359807863	82008213	38113183	21663379
cefoperazone	0	419616571	883805629	983647248	45335185	159706623	312445502	880252485	783298825	44085585	10092551
clindamycin	0	342349874	11539842	62941527	3098012	111522	4623	377	0	0	0
clindamycin	0	752105241	82829464	76376229	1159480	173840	81675	2496	0	0	0
clindamycin	0	762905283	36495271	25368323	3056379	620334	290100	8776	1950	0	0
clindamycin	0	185768381	14858505	18317102	5125553	936656	32173	8957	2703	296	0
clindamycin	0	115012010	71656272	27568253	1978522	968272	32020	14041	1250	0	0
none	0	0	0	0	0	0	0	0	0	0	0
none	0	0	0	0	0	0	0	0	0	0	0
none	0	0	0	0	0	0	0	0	0	0	0
none	0	0	0	0	0	0	0	0	0	0	0
none	0	0	0	0	0	0	0	0	0	0	0
